Genename,baseMean,log2FC,lfcSE,stat,p_value,padj
SCN7A,192.331262,1.352056276,0.851889127,1.58712705,0.112483873,0.703229224
PRSS44P,5.13489031,1.351379793,0.869453921,1.554285697,0.120116284,0.713001528
HSPB7,241.9070542,1.350661519,0.579859122,2.329292528,0.019843574,0.424134942
GPX6,0.158841152,1.350649251,4.435297498,0.304522809,0.760729619,NA
PLPBP,3407.391802,1.350045848,0.376448376,3.586270876,0.000335441,0.087197066
TCL1B,1.324015689,1.347748634,1.364622212,0.987634982,0.323331447,NA
GCSHP1,0.052007279,1.347684981,5.414602206,0.248898244,0.803439494,NA
RIMS1,145.5366658,1.346448828,0.836107022,1.610378567,0.107315237,0.696140299
LDC1P,8.546185671,1.345054187,0.865929993,1.553305923,0.120350066,0.713171175
GADL1,4.836686685,1.343534538,0.906873087,1.481502272,0.13847278,NA
PTPRJ-AS1,0.442744433,1.338016431,1.025426309,1.304839186,0.191947613,NA
FO393415.1,5.715145054,1.336824906,0.951076468,1.405591403,0.15984549,0.762002472
KCNE1,18.11703954,1.33496669,0.552542332,2.416044188,0.015690157,0.385698151
MPPED2-AS1,3.400209781,1.334883747,0.979516787,1.362798234,0.172946108,NA
TNP2,0.339046339,1.333139431,2.153354993,0.619098771,0.535851293,NA
ZSWIM5P2,3.478717216,1.332807279,0.817033903,1.631275366,0.102832229,NA
CTNNA3,21.17234269,1.330986459,0.540229102,2.463744464,0.01374941,0.374846705
RNVU1-6,1.314316082,1.330164604,0.944724099,1.407992668,0.159133241,NA
UGT2B26P,0.459719914,1.329548038,1.153738239,1.152382744,0.249163829,NA
LGR6,412.9302424,1.325014185,0.685441537,1.933081254,0.053226189,0.584447439
TRAJ17,0.43986654,1.322456452,1.203075564,1.09922975,0.271667865,NA
PCDHA3,58.00930164,1.319360867,0.642064987,2.054871225,0.039891444,0.527552197
MRGPRX3,24.01609944,1.315976314,0.873823178,1.505998406,0.132067583,0.732961484
CLGN,1141.376969,1.314908737,0.704777484,1.865707641,0.06208228,0.605166857
SMIM21,0.696378034,1.3145386,1.35114939,0.972903966,0.330601034,NA
PARP4P3,2.781331101,1.313672153,0.870524432,1.509058337,0.131283875,NA
RN7SL748P,0.589449049,1.310082856,1.370386897,0.95599488,0.339074821,NA
HIF3A,66.56993862,1.307887414,0.664121828,1.969348632,0.04891307,0.566678582
IGSF21,565.5605714,1.307476555,0.6550001,1.996147107,0.045917913,0.554787837
LARP1BP2,0.119923795,1.30693047,4.546948584,0.287430228,0.773782918,NA
MIR574,0.811218326,1.305661693,0.839805943,1.554718329,0.120013167,NA
RNVU1-15,2.285167914,1.30456286,0.904985699,1.441528701,0.149435375,NA
CRH,0.582848837,1.30441914,1.786050156,0.730337351,0.465184002,NA
PON1,23.40544731,1.304027632,0.830545141,1.570086402,0.116395012,0.707585266
LINC01785,1.73344668,1.303290475,1.689812018,0.771263585,0.440550712,NA
MGP,113675.3568,1.302761997,0.611302087,2.131126369,0.033078733,0.498236229
ARHGAP16P,2.476205729,1.30209336,1.279622585,1.017560471,0.308886881,NA
ANKRD29,263.2076952,1.299428249,0.52606793,2.470076915,0.0135084,0.374655613
MIR3129,0.212042651,1.296876031,2.342406612,0.553651114,0.579817638,NA
MIR4254,0.361314151,1.294871875,1.706916517,0.758602932,0.448090118,NA
SRP68P1,1.037381545,1.292685249,1.473814394,0.877101794,0.38043135,NA
