Genename,baseMean,log2FC,lfcSE,stat,p_value,padj
PCDHB3,159.9844016,1.799965489,0.55503072,3.243001558,0.001182776,0.148322443
ANGPTL8,15.27697383,1.795938008,0.671037449,2.676360328,0.007442658,0.304839157
RN7SL546P,0.465370802,1.794749253,1.118914817,1.604008836,0.108712105,NA
PGBD4P8,2.310140967,1.793518575,2.02282788,0.88663924,0.37527316,NA
DDIAS,538.2759105,1.78426764,0.428220042,4.16670745,3.09E-05,0.026592622
VTRNA2-1,0.154518957,1.780514172,3.472518239,0.512744369,0.608130149,NA
TSPAN8,231.3292917,1.775073917,0.950389161,1.867733755,0.061799191,0.605162643
GYS2,5.81841468,1.771386917,0.672612697,2.633591255,0.008448713,0.322381697
LINC02355,0.430323391,1.770787835,1.380952604,1.282294432,0.19973938,NA
PCP4,74.58722443,1.770170886,0.999077333,1.771805673,0.07642682,0.639152582
F3,1660.236845,1.763670758,0.520229784,3.390176441,0.000698477,0.113055467
ARHGAP29-AS1,26.12327777,1.763033095,0.853701236,2.065164043,0.038907481,0.522638772
MYADML2,10.42581816,1.759157393,0.445006053,3.953108908,7.71E-05,0.045060784
LINC01777,0.509428835,1.757015922,1.540107546,1.140839759,0.253936612,NA
LONRF2P1,0.51740821,1.753512906,1.399441759,1.253008847,0.210202487,NA
ERLIN2,6684.679094,1.743543457,0.456089974,3.822805926,0.000131942,0.054876721
RN7SL131P,0.26805168,1.742247785,1.53280472,1.136640409,0.25568864,NA
RNU6-628P,0.590659282,1.739511563,1.090341012,1.595383044,0.110626605,NA
FMO10P,0.076555373,1.735797895,5.405024442,0.321145244,0.748100325,NA
GAGE2A,0.140659855,1.724802242,5.401193267,0.319337257,0.749470784,NA
SAA1,3582.50967,1.716987832,0.768461912,2.234317413,0.025462195,0.461213103
CACNG2,0.491263524,1.711500919,1.04815768,1.632865887,0.102497206,NA
LINC02237,2.0659175,1.711106806,1.173810169,1.457737248,0.144912981,NA
SERPINA11,511.047931,1.709268333,0.953996846,1.791691806,0.073182348,0.63177349
PARAL1,5.246397978,1.706291062,0.879914532,1.939155452,0.052482412,0.581850761
CA4,46.22221666,1.701565043,0.955409802,1.780979262,0.074915839,0.634575235
HNRNPA1P57,99.0082167,1.69800014,1.267897182,1.339225423,0.180497298,0.782468542
MIR4421,0.201208647,1.696340991,2.336889305,0.725897024,0.467901901,NA
LINC02620,43.26665617,1.693080135,0.833913367,2.030283002,0.042327781,0.541517966
SPATA31C2,1.544980582,1.690627202,0.767949586,2.201482016,0.027701918,NA
HNRNPKP5,1.296711407,1.684863552,0.923002709,1.825415607,0.067938336,NA
KRTAP3-3,0.703324775,1.681063764,1.584976586,1.060623721,0.288860938,NA
NPY2R,61.46551677,1.68100156,1.64996918,1.018807855,0.308294196,0.855136549
RNU6-1150P,0.129667156,1.67619963,2.362955277,0.709365787,0.478097513,NA
NAA11,0.448824685,1.675500172,1.594214507,1.050987909,0.293264143,NA
PI15,896.1410295,1.67334724,0.707379715,2.36555729,0.018002958,0.406929145
CIDEA,250.5990533,1.671517211,1.018278957,1.641512083,0.100691161,0.683927034
RNVU1-28,0.130222624,1.670079252,2.840386701,0.587976015,0.556548392,NA
RNU1-85P,0.336747017,1.669383213,1.760130263,0.948442992,0.342903982,NA
RN7SKP281,0.289431695,1.669282925,2.366116802,0.705494726,0.480502413,NA
SOCS2,1511.78894,1.666279095,0.610285414,2.730327577,0.006327142,0.289822678
PPP4R3C,0.569019443,1.665570839,2.68166779,0.621095143,0.534537025,NA
CASQ1,112.2304207,1.66391397,0.691219556,2.407214835,0.016074711,0.386087009
RNU6-1140P,0.437735202,1.663774212,1.376672129,1.208547902,0.226836582,NA
RAB30-DT,402.4539346,1.662809511,0.322967034,5.148542525,2.63E-07,0.000727905
PDK4,4036.88656,1.659875062,0.671489567,2.471929785,0.013438591,0.374655613
SH3GL2,36.72000637,1.658850835,0.859348441,1.930358811,0.053562395,0.585307373
DMRTC1B,0.424834686,1.65484722,1.712553275,0.966304082,0.333892044,NA
RD3,8.778568599,1.649431165,0.814423709,2.025274002,0.042839237,0.544047404
SERPINA5,2511.58116,1.646926252,0.799085759,2.061013143,0.039301786,0.52391676
AKAIN1,0.275761106,1.638745563,1.523071779,1.07594769,0.281950652,NA
BCRP4,0.806177672,1.638396218,1.220549819,1.342342765,0.179484883,NA
H3Y2,0.150933823,1.636762194,3.458287647,0.473286887,0.636008516,NA
PHEX-AS1,1.351637618,1.636506438,1.317642838,1.241995471,0.214238233,NA
LINC02419,0.459925912,1.636217157,1.240874368,1.318600174,0.187302816,NA
RN7SL219P,1.631958048,1.633939372,0.741024397,2.204973789,0.027455934,NA
LVRN,40.89995272,1.627734961,0.648667755,2.509350816,0.012095329,0.360620007
CNN2P3,0.451540832,1.626997388,1.925057416,0.84516824,0.398016912,NA
ABCB5,30.14548497,1.624813312,0.70742553,2.296797675,0.021630314,0.436365798
TMEM132C,182.0174739,1.619748163,0.841765827,1.924226562,0.054326191,0.585307373
FEM1AP2,8.649302364,1.618528843,0.874088167,1.851676872,0.064072237,0.612066703
RNU6-770P,0.282814161,1.617721146,1.675644946,0.965431937,0.334328511,NA
FP885919.1,0.067572864,1.612680514,5.407980191,0.29820385,0.765547584,NA
MIR550A3,0.451392799,1.607098001,1.015431177,1.582675457,0.113495455,NA
GPD1,1492.775134,1.605976397,0.827054197,1.941803093,0.052160942,0.580846192
CGB3,0.357088555,1.604861594,1.781197542,0.901001464,0.367587541,NA
TMEM161BP1,14.60657643,1.60431096,1.065846941,1.50519826,0.132273112,0.733039201
LINC01612,2.016606764,1.601324772,1.40362782,1.140847132,0.253933543,NA
CR769776.2,0.280872273,1.600960776,1.90547609,0.840189381,0.400802211,NA
SNX18P9,0.510150851,1.595729717,1.258893669,1.26756513,0.204953291,NA
CIDEC,664.8464688,1.589790277,0.993929041,1.59950078,0.109709375,0.699250277
SERPINA3,490.3893821,1.587598102,0.707111397,2.245188111,0.024756059,0.457377414
SLC25A34-AS1,3.171836782,1.580417176,0.633042109,2.496543521,0.012541028,NA
BSNDP2,0.919552359,1.576816741,0.840267935,1.876564219,0.060577845,NA
CALN1,23.9932861,1.5758679,0.725633424,2.171713496,0.02987728,0.480714068
RN7SL261P,0.111082302,1.574972251,4.564942465,0.345014699,0.73008332,NA
MC5R,1.859163982,1.573638016,1.039306601,1.514122988,0.129994649,NA
SPATA31D5P,0.221640556,1.572888082,1.844126237,0.852917794,0.393704893,NA
MAP1LC3C,38.10542064,1.569467103,0.619110626,2.535034993,0.011243609,0.352241129
MIR3926-1,0.313325687,1.56339771,1.254190057,1.246539711,0.21256632,NA
CD300LG,198.8898264,1.561194356,0.85249885,1.831315498,0.067053466,0.617148853
DUTP7,0.390607783,1.55989006,1.030329255,1.513972405,0.130032839,NA
PTGDR,56.47464237,1.557861163,0.49107483,3.172349851,0.001512107,0.166854767
CCKAR,5.653505125,1.556234485,0.875288345,1.777967791,0.075409145,0.635325865
UGT2B11,907.7563706,1.553970238,1.426753257,1.08916537,0.276080967,0.837434596
ATP6V0CP2,0.202923158,1.552123386,3.463158445,0.448181454,0.654022247,NA
ANKRD62P1-PARP4P3,15.34470216,1.550868078,1.044332995,1.485032155,0.137535307,0.73978656
RERGL,91.52300273,1.5483587,0.772589121,2.004116623,0.045057569,0.553767531
DGAT2L6,2.10414497,1.54481987,0.892602954,1.730690967,0.083506897,NA
LINC02066,0.323477387,1.5431438,1.506647128,1.024223769,0.305729594,NA
LIPE,1475.193042,1.542538569,0.639932532,2.410470622,0.015931954,0.385698151
MTCO2P20,0.138056059,1.541321939,2.831062588,0.544432308,0.586144018,NA
RBP4,631.3615414,1.538071885,0.760685956,2.021953833,0.043181122,0.546008065
DPRXP1,0.263894791,1.531974182,1.547587888,0.989910941,0.322217651,NA
SOCS2-AS1,284.0610864,1.531124105,0.702053774,2.180921408,0.02918923,0.478218744
