V1,V2
TRIM28,MAPK1
CHD2,SP1
SIX5,EGR1
SIX5,MXI1
SIX5,SP1
SIX5,TFAP2C
SIX5,YY1
SIX5,RPS6KB2
EGR1,ELK4
EGR1,EP300
EGR1,ESRRA
EGR1,ETS1
EGR1,FOS
EGR1,MAFF
EGR1,GABPA
EGR1,GATA2
EGR1,JUN
EGR1,MEF2A
EGR1,ATF3
EGR1,RAD21
EGR1,SP1
EGR1,YY1
EGR1,BHLHE40
EGR1,CCNT2
EGR1,MAPK1
EGR1,SOS2
EGR1,SOS1
EGR1,PTEN
EGR1,EGFR
EGR1,BAX
EGR1,PIK3R1
EGR1,HRAS
EGR1,CDK9
EGR1,RASSF7
EGR1,CD151
EGR1,AKT2
EGR1,TNFSF11
EGR1,FZD7
EGR1,FZD5
EGR1,FGF2
ELK4,FOS
ELK4,GABPA
ELK4,IRF3
ELK4,NR2C2
ELK4,MAPK1
EP300,ETS1
EP300,FOS
EP300,GABPA
EP300,FOXA2
EP300,IRF3
EP300,JUN
EP300,MEF2A
EP300,MYC
EP300,SP1
EP300,TFAP2C
EP300,YY1
EP300,BHLHE40
EP300,SMC3
EP300,MAPK1
EP300,BAX
EP300,TNFSF11
EP300,TCF7L2
EP300,TCF7
EP300,BBC3
EP300,NCOA3
EP300,FRAT1
EP300,RECQL5
EP300,RPS6KA5
EP300,SHC2
ESRRA,MXI1
ESRRA,MYC
ESRRA,TFAP2C
ESRRA,USF1
ESRRA,NCOA3
ETS1,FOS
ETS1,GABPA
ETS1,JUN
ETS1,MYC
ETS1,SP1
ETS1,MAPK1
ETS1,BAX
ETS1,KIT
FOS,GATA2
FOS,FOXA2
FOS,JUN
FOS,MEF2A
FOS,MYC
FOS,ATF3
FOS,SP1
FOS,TBP
FOS,YY1
FOS,MAFK
FOS,BHLHE40
FOS,MAPK1
FOS,SOS2
FOS,HRAS
FOS,RASSF7
FOS,ZNF143
FOS,IGFBP5
FOS,ARAF
MAFF,JUN
MAFF,MYC
MAFF,ATF3
MAFF,SP1
MAFF,USF1
MAFF,PIK3R1
MAFF,FRAT1
GABPA,GATA2
GABPA,BRF1
GABPA,MXI1
GABPA,MYC
GABPA,RAD21
GABPA,SP1
GABPA,TBP
GABPA,USF1
GABPA,YY1
GABPA,MAPK1
GABPA,PIK3R1
GABPA,HRAS
GABPA,CDK9
