tf,TFnum
TRIM28,TF
CHD2,TF
SIX5,TF
EGR1,TF
ELK4,TF
EP300,TF
ESRRA,TF
ETS1,TF
FOS,TF
MAFF,TF
GABPA,TF
GATA2,TF
BRF1,TF
FOXA2,TF
IRF3,TF
JUN,TF
MEF2A,TF
MXI1,TF
MYC,TF
ATF3,TF
RAD21,TF
SP1,TF
TBP,TF
TFAP2C,TF
NR2C2,TF
USF1,TF
YY1,TF
MAFK,TF
BHLHE40,TF
CCNT2,TF
SMC3,TF
ZNF143,TF
