F267	F379	F494	F724	F990	F1083	F1094	F1122	F1137	F1147	F1367	F1738	F1744	F1868	F2036	F3076	F3079	F1519repl
t_os	1604	1398	1164	2031	1335	59	740	954	941	904	1080	1522	1521	1170	2239	1439	1444	605
e_os	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
JC037706	1.37482911493822	-0.684793654685622	-0.684793654685622	-0.684793654685622	-0.684793654685622	-0.684793654685622	1.290090541483	1.54605534965281	1.12309063943959	-0.684793654685622	1.51035035013064	-0.684793654685622	-0.684793654685622	-0.684793654685622	1.3731078605832	-0.684793654685622	-0.684793654685622	-0.684793654685622
DQ597485	0.538984156537384	0.448494262368982	0.60037511946801	0.794299180418957	-1.55786928790333	-1.55786928790333	0.64008049748585	-1.55786928790333	0.508187668095061	0.790455845834819	0.466123013075425	0.501443240830641	-1.55786928790333	0.789509380654008	-1.55786928790333	0.683834469822492	0.48364911293348	0.543910491991534
DQ584545	-1.20773144785568	0.878586150603402	0.693724844020921	-1.20773144785568	0.763156012986027	-1.20773144785568	0.994536280186084	0.715108579729719	0.398984545678993	-1.20773144785568	0.624622116473792	0.751300292567987	-1.20773144785568	1.01163196805339	-1.20773144785568	0.800292540348441	0.822176804340982	-1.20773144785568
KF274566	-0.685185943916729	1.39073019057626	1.27308048222754	-0.685185943916729	1.52832777884094	1.4631205890898	-0.685185943916729	-0.685185943916729	-0.685185943916729	-0.685185943916729	-0.685185943916729	1.4252558029224	-0.685185943916729	-0.685185943916729	-0.685185943916729	-0.685185943916729	1.1417164833438	-0.685185943916729
SNORD81	-0.600216063612562	-0.600216063612562	-0.600216063612562	1.59481776016552	1.86321279567721	-0.600216063612562	-0.600216063612562	1.52614620843431	-0.600216063612562	-0.600216063612562	-0.600216063612562	1.41819265018544	-0.600216063612562	-0.600216063612562	1.40043941250083	-0.600216063612562	-0.600216063612562	-0.600216063612562
Histone3	-0.771441927122385	0.965905524660748	1.05232893976024	1.26165037203335	1.45318642916145	1.33407604680851	-0.771441927122385	-0.771441927122385	-0.771441927122385	-0.771441927122385	-0.771441927122385	-0.771441927122385	1.25896246197205	-0.771441927122385	1.15975142394989	-0.771441927122385	-0.771441927122385	-0.771441927122385
septin 9/TNRC6C fusion	-0.342417597227067	-0.342417597227067	-0.342417597227067	-0.342417597227067	-0.342417597227067	-0.342417597227067	-0.342417597227067	2.9802009361355	-0.342417597227067	-0.342417597227067	-0.342417597227067	-0.342417597227067	-0.342417597227067	-0.342417597227067	2.49848061949757	-0.342417597227067	-0.342417597227067	-0.342417597227067
MIR1281	0.0451092152080946	0.131180634061729	0.273379613560306	0.620990094076743	0.932114810571178	-2.12672308785187	-2.12672308785187	0.6380030834146	-2.12672308785187	0.441297738800604	0.335651838661151	0.545898855114811	0.447269360283371	0.432755434046376	0.550664394205721	0.137691584144873	0.446816178239465	0.401346429166601
DQ584698	1.01441563324798	-0.860698620811748	-0.860698620811748	-0.860698620811748	-0.860698620811748	-0.860698620811748	1.54967210355186	1.15132675278052	-0.860698620811748	1.14542783747155	0.895551975618703	-0.860698620811748	-0.860698620811748	-0.860698620811748	1.03943840672223	-0.860698620811748	0.931207521150097	0.879945977574542
TRBV4-2	0.773038359813867	-1.53084773181757	0.736803121792474	0.435243138554675	0.361213697833014	0.652233701056247	-1.53084773181757	0.70255441610821	0.817555571610309	0.903798806342987	-1.53084773181757	0.543471634483463	0.417123779531437	0.929593696256278	0.266947052041233	-1.53084773181757	-1.53084773181757	0.114661683663679
DQ598167	0.679561387362733	-1.0798935161104	0.83501130656054	-1.0798935161104	0.922288581501866	1.05333441927337	0.958582932524134	1.12672004156634	0.822355275544855	-1.0798935161104	-1.0798935161104	-1.0798935161104	-1.0798935161104	-1.0798935161104	0.832238737182323	0.731687720684366	-1.0798935161104	0.6773677266827
DM110804	0.763059904354253	0.745854614151594	0.669212449551331	0.997904518529867	0.923773354767918	1.03076374129127	-1.07864994459069	-1.07864994459069	0.894166639984698	-1.07864994459069	-1.07864994459069	1.08768365904815	-1.07864994459069	-1.07864994459069	0.933266709277398	-1.07864994459069	0.583513965769043	-1.07864994459069
AY006260	1.37556370132097	-0.599653233674592	1.72935438109158	-0.599653233674592	-0.599653233674592	-0.599653233674592	-0.599653233674592	1.5112806203657	1.36090691229239	1.81838642269905	-0.599653233674592	-0.599653233674592	-0.599653233674592	-0.599653233674592	-0.599653233674592	-0.599653233674592	-0.599653233674592	-0.599653233674592
SNORD95	0.491301568470858	-1.55634876191386	0.356100060814778	-1.55634876191386	0.8422855516768	0.617409323942549	0.752759868376573	-1.55634876191386	-1.55634876191386	0.807931472287552	0.592626181156539	-1.55634876191386	0.538394174783504	0.524175948911918	0.664822434141165	0.55625451082713	0.46867611071141	0.569006603468535
MIR4519	-0.681399944498332	-0.681399944498332	1.36777867567548	-0.681399944498332	1.78023324379523	1.42589990929331	-0.681399944498332	1.31367881270708	-0.681399944498332	-0.681399944498332	1.077151820362	-0.681399944498332	-0.681399944498332	-0.681399944498332	1.21205687214688	-0.681399944498332	-0.681399944498332	-0.681399944498332
M26316	-0.430966944119059	-0.430966944119059	-0.430966944119059	-0.430966944119059	-0.430966944119059	-0.430966944119059	2.55972470376228	2.09053915752625	-0.430966944119059	-0.430966944119059	-0.430966944119059	-0.430966944119059	-0.430966944119059	-0.430966944119059	-0.430966944119059	1.81424030049735	-0.430966944119059	-0.430966944119059
SNORD48	-0.769107045654866	-0.769107045654866	1.26987383098502	-0.769107045654866	1.47503612937087	-0.769107045654866	-0.769107045654866	-0.769107045654866	1.06033852832148	1.12557192110692	-0.769107045654866	1.39191758670619	-0.769107045654866	-0.769107045654866	1.28310073766377	-0.769107045654866	-0.769107045654866	0.854338768049283
SNORD44	-0.600978412825112	1.51594715751377	1.70740152727342	1.61443428006113	1.66051041136863	-0.600978412825112	-0.600978412825112	-0.600978412825112	-0.600978412825112	-0.600978412825112	-0.600978412825112	-0.600978412825112	-0.600978412825112	-0.600978412825112	-0.600978412825112	-0.600978412825112	1.3144259905095	-0.600978412825112
MIR6759	-0.772258071388071	-0.772258071388071	1.1202295756869	1.33447235177636	1.20236658823742	-0.772258071388071	-0.772258071388071	-0.772258071388071	1.40725525452816	1.27460001153381	0.956675354352144	-0.772258071388071	-0.772258071388071	-0.772258071388071	-0.772258071388071	-0.772258071388071	-0.772258071388071	1.19923964915399
