OncotypeDX21gene,Recurrence
ACTB,five reference genes
GAPDH,
GUS,
RPLPO,
TFRC,
GRB7,HER2
HER2,
ER,Estrogen
PGR,
BCL2,
SCUBE2,
Ki67,Proliferation
STK15,
Survivin,
CCNB1,
MYBL2,
MMP11,Invasion
CTSL2,
GSTM1,
CD68,
BAG1,
