"","Coef_ridge","s0","tcross"
"KHDRBS1",NA,-0.0199599209712551,1
"MCM6",NA,-0.0043651549346807,1
"NCOA1",NA,-0.0115393679208298,1
"NCOA3",NA,0.00189458718396608,1
"NOTCH2",NA,-0.0183513039355925,1
"NOTCH3",NA,-0.0267595904971071,1
"NOTCH4",NA,0.0257703211980569,1
"NR5A1",NA,-0.0182279538129833,1
"RB1",NA,0.0275574264907867,1
"SPIB",NA,-0.0143372367433062,1
"TRIM21",NA,-0.022755000039692,1
"TWIST1",NA,0.0278384385017706,1
"DLX5",NA,-0.00224114551917967,1
"EGF",NA,0.00634553278806754,1
"FOXJ1",NA,-0.0360694085298391,1
"PCGF2",NA,-0.0346356930058314,1
"YBX1",NA,-0.00901759330064175,1
"CEACAM5",NA,0.0213979222769973,1
"FGL1",NA,-0.00758444598420904,1
"HSPA4",NA,0.0269006255353344,1
"THAP1",NA,0.0222444482906893,1
"MAP2K2",NA,-0.0103310315659585,1
"TEX15",NA,-0.0261183961278268,1
"UPK1B",NA,-0.0217617903366249,1
"AIF1L",NA,0.0113718271827739,1
"FIBCD1",NA,0.0435164576166814,1
"ALDH4A1",NA,0.0174522803851761,1
"CDC20",NA,0.0125425111379283,1
"FRAT1",NA,0.00820795877584754,1
"CDKN1A",NA,0.026179996782459,1
"APC2",NA,0.0411110380781498,1
"IGF2BP3",NA,0.000309154441372863,1
"GNAZ",NA,0.0223787268179613,1
"ACADL",NA,-0.0204925594490911,1
"DLK1",NA,-0.0246327353911537,1
"PIK3CB",NA,0.000998748415053117,1
"NMU",NA,-0.0224576826532334,1
"ESM1",NA,0.00215956950693082,1
"COL4A2",NA,-0.00402260311731509,1
"AKAP14",NA,-0.01768680665418,1
"ERBB3",NA,0.000869505814416299,1
"ALB",NA,0.012458298189594,1
"FZD2",NA,0.0345974561436721,1
"FGF21",NA,0.0354841628393319,1
"CTAG2",NA,0.0063056982601925,1
"IGSF1",NA,-0.0121587628293404,1
"ITIH2",NA,0.00780100204153777,1
"PDGFRB",NA,0.0108358222890333,1
"PGC",NA,-0.0242365593037167,1
"PGK1",NA,0.0536365398938475,1
"ANLN",NA,0.0121947903937698,1
"PYCR1",NA,-0.0148112408171003,1
"BCL2",NA,-0.0170508700396702,1
"TNNI3",NA,-0.0261232456751411,1
"DSCR8",NA,-0.0190311161169848,1
"CDC42BPA",NA,0.0148788030988632,1
"AOC3",NA,0.00113682830197458,1
"RECQL5",NA,0.0108918750727583,1
"ZNF217",NA,0.000981274665022719,1
"WNT10B",NA,0.0103481075598101,1
"RPS6KB2",NA,0.0205022986105736,1
"RPS6KA5",NA,-0.0178101894575087,1
"PTEN",NA,-0.0176451861064181,1
"MIA",NA,-0.0122680610735967,1
"LEP",NA,-0.012614511691114,1
"GADD45G",NA,0.00697821679620764,1
"EXT1",NA,0.0192137758789336,1
"CHGA",NA,-0.0223360586187125,1
"CDH19",NA,-0.0281873380666892,1
"CD19",NA,0.00334188547078378,1
"CCNA2",NA,-0.00101588213578072,1
"EGFR",NA,-0.0254892592365089,1
"AGR2",NA,-0.0161365351761457,1
"ALOX15B",NA,-0.0385278705409843,1
"ANXA3",NA,0.0164590597689689,1
"KRT1",NA,0.00884496301804578,1
"KRT13",NA,-0.000731007059480222,1
"KRT15",NA,-0.0155677121370837,1
"RPS6KB1",NA,0.0107870504639204,1
"TFF1",NA,-0.0304029153987479,1
"CA2",NA,0.00648961715918181,1
"TFPI2",NA,-0.0324348983641633,1
"CD44",NA,-0.0171240005591466,1
"PARP3",NA,-0.02419348390893,1
"CDK6",NA,-0.0156734772846855,1
"CAP2",NA,-0.000615118360389829,1
"CYP24A1",NA,-0.0165252482631287,1
"DMBT1",NA,-0.00618429032391525,1
"ALAD",NA,-0.0042796555788894,1
"HEYL",NA,0.0139178526050324,1
"SLC13A5",NA,0.00321799037035287,1
"IDO1",NA,-0.0242452235892923,1
"CD82",NA,0.0150231386262425,1
"KIFC1",NA,0.00317352504535954,1
"KRT4",NA,0.0028569382514912,1
"NTS",NA,0.000719080588408343,1
"DTL",NA,-0.0134048768731544,1
"MAP2K1",NA,0.00940933515343337,1
"BAK1",NA,0.00545546284083682,1
"BAX",NA,0.0148234379237583,1
"CCND1",NA,-0.0174092826070224,1
"ROS1",NA,0.0114593700493122,1
"WNT1",NA,-0.0162848942870348,1
