"","Coef_lasso","s0","tcross"
"STAT3",NA,0,1
"TAF1",NA,0,1
"TAF7",NA,0,1
"TAL1",NA,0.0621987642223919,1
"TBP",NA,0.160042873116148,1
"TCF4",NA,0,1
"ZEB1",NA,0,1
"TCF12",NA,0,1
"TFAP2A",NA,-0.0198665858469233,1
"TFAP2C",NA,0,1
"NR2C2",NA,0,1
"USF1",NA,0,1
"USF2",NA,0,1
"XRCC4",NA,0.20655901849229,1
"YY1",NA,0,1
"ZNF143",NA,-0.117936925485198,1
"MAFK",NA,0,1
"NANOG",NA,0,1
"FOSL1",NA,0,1
"BHLHE40",NA,0,1
"CCNT2",NA,0,1
"SMC3",NA,0,1
"HMGN3",NA,0,1
"BCLAF1",NA,0,1
"SETDB1",NA,0,1
"TP53",NA,0,1
"NFKB2",NA,0,1
"LEF1",NA,0,1
"E2F2",NA,0,1
"XBP1",NA,0,1
"TLX1",NA,0,1
"TCF7L2",NA,0,1
"TCF7L1",NA,0,1
"TCF7",NA,0,1
"SOS2",NA,-0.099323000885844,1
"SOS1",NA,0,1
"PIAS1",NA,0,1
"PGR",NA,0,1
"MAPK3",NA,0,1
"MAPK1",NA,0,1
"MAFA",NA,0.0127796255314601,1
"HOXD3",NA,0,1
"FOXO3",NA,0,1
"ESR2",NA,0,1
"E2F3",NA,0,1
"CTNNB1",NA,0,1
"BRCA2",NA,0,1
"BBC3",NA,0,1
"APC",NA,0,1
"ARID1B",NA,0,1
"CBX4",NA,0,1
"CITED1",NA,0,1
"COPS5",NA,0.0146469003475562,1
"DDB2",NA,0,1
"HDAC5",NA,0,1
"HDAC9",NA,-0.0388916926033656,1
"HES1",NA,0,1
"HEY2",NA,0,1
"HMGB2",NA,-0.0477459107557161,1
"KAT2B",NA,0,1
"KHDRBS1",NA,0,1
"MCM6",NA,0,1
"NCOA1",NA,0,1
"NCOA3",NA,0,1
"NOTCH2",NA,0,1
"NOTCH3",NA,0,1
"NOTCH4",NA,0,1
"NR5A1",NA,0,1
"RB1",NA,0,1
"SPIB",NA,0,1
"TRIM21",NA,0,1
"TWIST1",NA,0,1
"DLX5",NA,0,1
"EGF",NA,0,1
"FOXJ1",NA,-0.108225862189914,1
"PCGF2",NA,0,1
"YBX1",NA,0,1
"CEACAM5",NA,0,1
"FGL1",NA,0,1
"HSPA4",NA,0,1
"THAP1",NA,0,1
"MAP2K2",NA,0,1
"TEX15",NA,0,1
"UPK1B",NA,0,1
"AIF1L",NA,0,1
"FIBCD1",NA,0.0575192432703711,1
"ALDH4A1",NA,0,1
"CDC20",NA,0,1
"FRAT1",NA,0,1
"CDKN1A",NA,0,1
"APC2",NA,0,1
"IGF2BP3",NA,0,1
"GNAZ",NA,0,1
"ACADL",NA,0,1
"DLK1",NA,0,1
"PIK3CB",NA,0,1
"NMU",NA,0,1
"ESM1",NA,0,1
"COL4A2",NA,0,1
"AKAP14",NA,0,1
"ERBB3",NA,0,1
"ALB",NA,0,1
"FZD2",NA,0.0498103355905063,1
"FGF21",NA,0,1
"CTAG2",NA,0,1
"IGSF1",NA,0,1
"ITIH2",NA,0,1
"PDGFRB",NA,0,1
"PGC",NA,0,1
"PGK1",NA,0.211825026339292,1
"ANLN",NA,0,1
"PYCR1",NA,0,1
"BCL2",NA,0,1
"TNNI3",NA,0,1
"DSCR8",NA,0,1
"CDC42BPA",NA,0,1
"AOC3",NA,0,1
"RECQL5",NA,0,1
"ZNF217",NA,0,1
"WNT10B",NA,0,1
"RPS6KB2",NA,0,1
"RPS6KA5",NA,0,1
"PTEN",NA,0,1
"MIA",NA,0,1
"LEP",NA,0,1
"GADD45G",NA,0,1
"EXT1",NA,0,1
"CHGA",NA,0,1
"CDH19",NA,-0.056634119542953,1
"CD19",NA,0,1
"CCNA2",NA,0,1
"EGFR",NA,-0.0425097464347262,1
"AGR2",NA,0,1
"ALOX15B",NA,-0.0780109873529869,1
"ANXA3",NA,0,1
"KRT1",NA,0,1
"KRT13",NA,0,1
"KRT15",NA,0,1
"RPS6KB1",NA,0,1
"TFF1",NA,0,1
"CA2",NA,0,1
"TFPI2",NA,0,1
"CD44",NA,0,1
"PARP3",NA,0,1
"CDK6",NA,0,1
"CAP2",NA,0,1
"CYP24A1",NA,0,1
"DMBT1",NA,0,1
"ALAD",NA,0,1
"HEYL",NA,0,1
"SLC13A5",NA,0,1
"IDO1",NA,0,1
"CD82",NA,0,1
"KIFC1",NA,0,1
"KRT4",NA,0,1
"NTS",NA,0,1
"DTL",NA,0,1
"MAP2K1",NA,0,1
"BAK1",NA,0,1
"BAX",NA,0,1
"CCND1",NA,0,1
"ROS1",NA,0,1
"WNT1",NA,0,1
"WNT7A",NA,0.104109065571576,1
"WNT11",NA,0,1
"CA9",NA,0,1
"FGFBP2",NA,0,1
"SPHK1",NA,0,1
"WWC1",NA,0,1
"WNT8A",NA,0.0684761710389154,1
"WNT7B",NA,0.00133507979632083,1
"WNT4",NA,0,1
"WNT3A",NA,0.0705818808756784,1
"WNT3",NA,0,1
"WNT16",NA,0,1
"WNT10A",NA,0,1
"TUBA4B",NA,0,1
"TTYH1",NA,0,1
"TCN1",NA,-0.0181827672729594,1
"STK32B",NA,0,1
"SPHKAP",NA,-0.0268407212305246,1
"SLC16A1",NA,0,1
"SHC4",NA,0,1
"SCUBE2",NA,0,1
"S100A4",NA,0,1
"RTN4RL1",NA,0,1
"PRSS12",NA,0,1
"PKD1",NA,0,1
"PIK3R1",NA,0,1
"PIK3CA",NA,0.0115857200774467,1
"PDCD1",NA,0,1
"NPY2R",NA,0,1
"NOS1",NA,0.0931620120093066,1
"MYO3A",NA,-0.0243729992245386,1
"MELK",NA,0,1
"KIF11",NA,0,1
"JAG1",NA,0,1
"IGF1",NA,0,1
"HSP90AA1",NA,0.0897917699779379,1
"HRAS",NA,0,1
"HILS1",NA,0,1
"GSTA1",NA,0,1
"GJA1",NA,0,1
"GADD45B",NA,0,1
"GABBR2",NA,0,1
"FZD4",NA,0,1
"FZD3",NA,0,1
"FLT4",NA,0,1
"FGF8",NA,0,1
"FGF5",NA,0,1
"FGF1",NA,0,1
"FAM135B",NA,0,1
"EBF4",NA,0,1
"DLL3",NA,0,1
"DLL1",NA,0,1
"CXCL12",NA,0,1
"CENPA",NA,0,1
"CDK9",NA,0,1
"BRAF",NA,0,1
"BCL2L11",NA,0,1
"GSK3B",NA,0,1
"DLX6",NA,0,1
"GAD1",NA,-0.0376532845866017,1
