sample	class
X1_P	Primary
X2_P	Primary
X5_P	Primary
X6_P	Primary
X7_P	Primary
X9_P	Primary
X11_P	Primary
X12_P	Primary
X13_P	Primary
X14_P	Primary
X15_P	Primary
X17_P	Primary
X8_P	Primary
X1_M	Metastases
X2_M	Metastases
X5_M	Metastases
X6_M	Metastases
X7_M	Metastases
X9_M	Metastases
X11_M	Metastases
X12_M	Metastases
X13_M	Metastases
X14_M	Metastases
X15_M	Metastases
X17_M	Metastases
X8_M	Metastases
