Genotype,Subject,PI
WT,s1,20.4712
WT,s2,28.88967
WT,s3,11.55061
WT,s4,23.24516
WT,s5,30.20904
WT,s6,28.683
KO,s1,38.14251
KO,s2,38.10213
KO,s3,23.16938
KO,s4,32.18743
KO,s5,44.01176
KO,s6,48.81051
